SKID,Name,DoB,Street_Address,District,State,Zip_Code,DoA,hasSecurityPass,ContactNo
1,"Almire Wilder",1986-02-07,"30 Waxwing Parkway",District35,Quebec,126432,2011-09-01,T,8729135028
2,"Ellie Bartelot",1997-10-02,"7505 Knutson Hill",District24,"New York",674921,2010-10-25,T,8372948271
3,"Sasha Dunn",1989-04-03,"8 Larry Alley",District14,"New York",568653,2012-10-25,T,8135344563
4,"Selby Cabral",1993-08-13,"95411 Hovde Road",District74,"New York",892135,2011-05-15,F,8748938578
5,"Farlay Coaten",1997-01-17,"507 Schiller Center",District99,"New York",954126,2012-12-21,T,8892746528
6,"Devondra Dilworth",1988-11-07,"4 Waywood Crossing",District45,Indiana,124312,2015-01-11,T,8490765284
7,"Farlay Coaten",1987-04-03,"6 Nobel Court",District54,Arizona,245671,2009-07-04,T,8766472940
8,"Ruthy Hartus",1995-06-03,"483 Fulton Park",District66,Texas,875432,2014-04-05,T,8223434554
9,"Leicester Canape",1982-05-25,"73984 Anniversary Drive",District34,Mississippi,765456,2010-02-17,F,8345234122
10,"Oren Leele",1998-06-21,"753 Thackeray Crossing",District57,"North Dakota",765455,2013-11-12,T,8689008678
11,"Denise Darkins",1982-11-25,"631 New Castle Junction",District22,"British Columbia",537345,2011-10-15,T,8098766583
12,"Glennie Gerrietz",1997-08-30,"89886 Reinke Way",District13,California,753457,2008-05-23,F,8143254377
13,"Den Brahms",1986-11-28,"1 Trailsway Center",District26,Washington,564323,2011-09-11,T,8345567864
14,"Benetta Rickard",1982-10-19,"063 Mcbride Trail",District87,Scotland,643523,2012-06-22,F,8987683970
15,"Martha Trask",1986-10-30,"4 Emmet Way",District85,Illinois,234523,2008-11-26,F,8655567337
